feature_1,feature_2,target
0.6755228,0.08684915,1
0.074504554,0.9659819,0
0.112209976,0.4823737,0
0.92974925,0.9868129,0
0.3109638,0.08205432,1
0.012116373,0.26489526,0
0.3130691,0.15424949,1
0.25506848,0.7873103,0
0.40963274,0.085484445,1
0.69981843,0.24883682,1
0.8826523,0.9932327,0
0.6133222,0.42406934,1
0.68072426,0.9270595,0
0.9836152,0.16282594,1
0.0924865,0.26486403,0
0.040281057,0.37625527,0
0.67258376,0.16523504,1
0.44314092,0.64223,0
0.48660672,0.6653696,0
0.27463037,0.37027884,0
0.114234805,0.8825912,0
0.43846965,0.09402257,1
0.52383095,0.71851015,0
0.037442982,0.8042616,0
0.98126954,0.03542328,1
0.2830773,0.7237175,0
0.379987,0.7295268,0
0.9790933,0.25118577,1
0.5085681,0.5624606,0
0.5337063,0.36721367,1
0.7546034,0.9151773,0
0.36650908,0.10393953,1
0.49939716,0.78010416,0
0.49839675,0.74973696,0
0.20125973,0.25391328,1
0.88001883,0.70809156,1
0.4185133,0.34532326,1
0.41638738,0.412714,1
0.2201106,0.4317578,0
0.26549923,0.5057002,0
0.80030775,0.34071034,1
0.5938015,0.87772477,0
0.13366169,0.38640976,0
0.12101978,0.365148,0
0.05161059,0.19080901,1
0.19817913,0.9577236,0
0.6270287,0.68284,0
0.9470321,0.7009105,1
0.21848923,0.4639097,0
0.39561486,0.121019125,1
0.5316617,0.60046786,0
0.4253642,0.9438034,0
0.47280896,0.5680115,0
0.8943403,0.035066843,1
0.9217963,0.62635845,1
0.29407758,0.49648637,0
0.009835899,0.65077287,0
0.002329111,0.34530318,0
0.16826278,0.8423902,0
0.66601056,0.21325856,1
0.23181707,0.20954746,1
0.8200358,0.34136307,1
0.7956174,0.29125333,1
0.52985924,0.51340324,1
0.7376574,0.2766447,1
0.9602693,0.61236906,1
0.42615765,0.5284004,0
0.4417132,0.6255612,0
0.8719687,0.5112769,1
0.73163456,0.23405063,1
0.028179765,0.6567264,0
0.8353705,0.23797154,1
0.8872906,0.8319553,0
0.032788157,0.43298912,0
0.51812154,0.40856886,1
0.50575954,0.22541237,1
0.24603343,0.1455872,1
0.20454937,0.70032275,0
0.60509735,0.36227882,1
0.49082845,0.74494696,0
0.6679937,0.26555783,1
0.35931617,0.15528148,1
0.9484766,0.2444396,1
0.12246019,0.27728587,0
0.4393593,0.35035104,1
0.6573951,0.037825108,1
0.8252416,0.16127199,1
0.47272378,0.5567705,0
0.9983864,0.048479497,1
0.737076,0.34239382,1
0.15671879,0.14766163,1
0.9502548,0.7707806,1
0.18009579,0.16754758,1
0.71574533,0.850382,0
0.73034745,0.07460785,1
0.86743194,0.92872363,0
0.77150583,0.23861331,1
0.82641876,0.520571,1
0.33031029,0.15326339,1
0.41318148,0.48963034,0
0.8134746,0.13742435,1
0.015161455,0.100357175,1
0.92423534,0.010276198,1
0.64438343,0.66937107,0
0.60461986,0.48812306,1
0.7861477,0.16706884,1
0.48586375,0.020629883,1
0.7277475,0.009043813,1
0.013487399,0.8096256,0
0.354654,0.54098004,0
0.04508096,0.95939016,0
0.8451429,0.86300576,0
0.18623215,0.9386319,0
0.44480377,0.48943418,0
0.9385925,0.6077407,1
0.010666847,0.05157405,1
0.76760465,0.3227967,1
0.33721042,0.18922007,1
0.29279613,0.49483323,0
0.73396724,0.935309,0
0.6696138,0.6624269,0
0.1945818,0.50251883,0
0.61848646,0.95779693,0
0.65611833,0.24209249,1
0.9587439,0.9932441,0
0.8321416,0.21219522,1
0.15738773,0.8385642,0
0.9826617,0.2811702,1
0.105360806,0.46653026,0
0.73447907,0.7965856,0
0.4440478,0.66617376,0
0.30825824,0.4456728,0
0.13991529,0.7245118,0
0.024147809,0.12001294,1
0.092593074,0.2391091,0
0.23867458,0.66900253,0
0.5868301,0.6215532,0
0.73831713,0.18279856,1
0.15168875,0.7662485,0
0.5558034,0.08563006,1
0.041353762,0.9795628,0
0.6709574,0.67771035,0
0.9451023,0.26768023,1
0.49517304,0.43477935,1
0.8203198,0.7690377,0
0.37490553,0.59251827,0
0.9777306,0.19262445,1
0.8357553,0.39249593,1
0.5984466,0.0099051595,1
0.89755505,0.6587537,1
0.34298408,0.33988303,1
0.13961476,0.558424,0
0.57426876,0.90106744,0
0.1732589,0.26967186,1
0.13926762,0.9256097,0
0.29305202,0.026366413,1
0.13455367,0.43973625,0
0.40129107,0.47442758,0
0.060409725,0.62357587,0
0.80455446,0.75100756,0
0.5737908,0.5769607,0
0.5917439,0.5129207,1
0.8295197,0.7097736,1
0.179869,0.60145533,0
0.3974542,0.4388888,0
0.7870449,0.87822425,0
0.87148947,0.504424,1
0.67345977,0.27867043,1
0.14995098,0.8812,0
0.6295478,0.32882452,1
0.21071202,0.3574525,0
0.9799701,0.61107063,1
0.2471472,0.7436991,0
0.86427605,0.58212703,1
0.1341523,0.8357439,0
0.05094701,0.440064,0
0.47832978,0.31164777,1
0.68657035,0.13336784,1
0.46998912,0.7891739,0
0.8221454,0.5013369,1
0.2356267,0.7651072,0
0.7293374,0.36522996,1
0.60785687,0.7066462,0
0.112719715,0.9171193,0
0.44859552,0.6396469,0
0.30165476,0.75974154,0
0.25944155,0.9235274,0
0.9610144,0.61476636,1
0.16721332,0.6723761,0
0.9629854,0.03691888,1
0.8756352,0.28165627,1
0.38133264,0.42494756,0
0.48517615,0.648348,0
0.677854,0.1057421,1
0.22231662,0.74532276,0
0.6764746,0.21448076,1
0.67157364,0.18508774,1
0.3818285,0.8972518,0
0.03723383,0.7059284,0
0.04855007,0.2748559,0
0.591066,0.57757175,0
0.57671285,0.71139383,0
0.2767591,0.2732082,1
0.20234221,0.8963734,0
0.6774408,0.17083812,1
0.27113158,0.9185471,0
0.93122,0.97407925,0
0.97357696,0.041640937,1
0.5929279,0.36061323,1
0.9092319,0.83527464,0
0.2746898,0.25479025,1
0.7526847,0.85915864,0
0.6693032,0.71348363,0
0.23357183,0.6700752,0
0.6131146,0.00094640255,1
0.53659296,0.6536953,0
0.6565215,0.6333213,0
0.11686587,0.40221828,0
0.3433197,0.9355279,0
0.25748056,0.2105667,1
0.30841863,0.3304785,1
0.6134513,0.93989986,0
0.017439306,0.94717324,0
0.81184953,0.7831066,0
0.23026448,0.24148458,1
0.3973987,0.09823203,1
0.14595526,0.8231065,0
0.62070733,0.38528818,1
0.995104,0.5670002,1
0.6925072,0.11687571,1
0.24497837,0.99194634,0
0.9103662,0.93583614,0
0.66917115,0.12245917,1
0.16393983,0.05527574,1
0.93805075,0.058116496,1
0.22487575,0.106669486,1
0.72499657,0.18312585,1
0.80327684,0.7105744,0
0.723237,0.8202054,0
0.45644063,0.3119654,1
0.3498279,0.146492,1
0.78472215,0.563963,1
0.5731618,0.03304702,1
0.097366154,0.22706312,1
0.70401067,0.6661742,0
0.7702737,0.47762167,1
0.38828647,0.88426584,0
0.9132111,0.8370482,0
0.39093792,0.17319196,1
0.4530921,0.3152389,1
0.82443017,0.4599473,1
0.12434536,0.008741796,1
0.7794514,0.70902044,0
0.37072116,0.21835953,1
0.056304634,0.8980469,0
0.7712529,0.054739475,1
0.8172895,0.70282394,1
0.47732723,0.6310787,0
0.0020929575,0.6177003,0
0.867165,0.960342,0
0.51567435,0.83210343,0
0.2991665,0.3785671,0
0.8308579,0.7641649,0
0.5974429,0.1406607,1
0.1264329,0.6614584,0
0.59205973,0.47082782,1
0.16800493,0.41552526,0
0.086422145,0.04492867,1
0.5401543,0.3406108,1
0.0080679655,0.9355865,0
0.77896005,0.56625485,1
0.36717665,0.97360504,0
0.30310214,0.8299217,0
0.20134544,0.051169157,1
0.6502379,0.794421,0
0.7745955,0.5958078,1
0.61403084,0.17282408,1
0.2093023,0.9931748,0
0.8786973,0.961288,0
0.75995475,0.19069499,1
0.5850687,0.15013975,1
0.20561832,0.58633906,0
0.7627536,0.8917294,0
0.41017812,0.75302655,0
0.17110097,0.7049271,0
0.52844715,0.2308923,1
0.07051599,0.61800945,0
0.26405752,0.9970858,0
0.28579307,0.08936334,1
0.18564558,0.75710106,0
0.5895613,0.07187152,1
0.56568325,0.8742219,0
0.2689672,0.008181095,1
0.8511448,0.49962837,1
0.9636023,0.75409526,1
0.6300436,0.4008978,1
0.40436405,0.29877204,1
0.9957417,0.31661433,1
0.026830375,0.4848199,0
0.29656875,0.6490963,0
0.30102986,0.65367407,0
0.052496076,0.05042982,1
0.86292315,0.17295235,1
0.9236832,0.8753697,0
0.59556,0.9912338,0
0.41831386,0.77648014,0
0.56570655,0.3218758,1
0.058917463,0.3643347,0
0.56864285,0.43169743,1
0.72908926,0.19730401,1
0.5350813,0.2847656,1
0.22470784,0.69430894,0
0.40036732,0.32253164,1
0.8654636,0.6245207,1
0.40889037,0.6189826,0
0.14955622,0.9414884,0
0.16257524,0.4105264,0
0.4535547,0.22448981,1
0.6291251,0.7046247,0
0.61070436,0.18606585,1
0.14106137,0.6841504,0
0.8096761,0.26886737,1
0.7559199,0.0061013103,1
0.38864142,0.5107635,0
0.85367715,0.33315766,1
0.34469104,0.37413895,1
0.15050554,0.92187154,0
0.7147506,0.7756146,0
0.93187314,0.3106594,1
0.5142393,0.06651181,1
0.20771384,0.5247343,0
0.2075327,0.909265,0
0.9196325,0.30287862,1
0.9768622,0.6330128,1
0.72517186,0.86220324,0
0.041872144,0.3105067,0
0.5679742,0.6158315,0
0.89381737,0.1695289,1
0.17680877,0.3645035,0
0.8837996,0.77067524,0
0.72236127,0.30074054,1
0.4906392,0.18059486,1
0.9881385,0.03323978,1
0.33643228,0.07489371,1
0.2185443,0.46565557,0
0.731315,0.32689404,1
0.3243783,0.1279862,1
0.3339516,0.7418097,0
0.24304354,0.8523831,0
0.40030825,0.19984204,1
0.6200924,0.60191447,0
0.25474077,0.2465617,1
0.57402116,0.42322963,1
0.9371172,0.10875636,1
0.21572691,0.46685708,0
0.51267505,0.5393992,0
0.54620767,0.43759197,1
0.28318906,0.3319943,1
0.45486653,0.90249294,0
0.39653325,0.32921648,1
0.39966512,0.3683619,1
0.71519464,0.10110998,1
0.9847336,0.9824525,0
0.839638,0.7778278,0
0.23808527,0.26803094,1
0.88593704,0.7826568,0
0.19976246,0.4168213,0
0.6755593,0.7621234,0
0.6470836,0.97652626,0
0.12837434,0.67834437,0
0.542502,0.7213406,0
0.7244248,0.7773072,0
0.8937292,0.90963113,0
0.01162231,0.24750376,0
0.73673123,0.9195629,0
0.021556139,0.17534423,1
0.25208092,0.31264228,1
0.21557021,0.16683877,1
0.37747312,0.9708906,0
0.4000581,0.48751986,0
0.431736,0.788682,0
0.24864471,0.30502987,1
0.9351579,0.059294045,1
0.6782696,0.48822987,1
0.17541897,0.40380162,0
0.21825844,0.13658708,1
0.123562455,0.80632144,0
0.29182684,0.30736804,1
0.42395747,0.45010012,0
0.5785258,0.0053749084,1
0.5158246,0.22259545,1
0.8360236,0.0037629008,1
0.46795058,0.6917076,0
0.40704072,0.34857142,1
0.985221,0.38823837,1
0.6316151,0.15657681,1
0.29603457,0.9222868,0
0.5141309,0.4885128,1
0.65556455,0.43592376,1
0.9528814,0.06590325,1
0.61312324,0.70620424,0
0.019199312,0.19161576,0
0.87822956,0.11550236,1
0.12838322,0.6636652,0
0.60009104,0.65339553,0
0.7340236,0.39943844,1
0.190575,0.47174174,0
0.4468928,0.625799,0
0.83979034,0.6121812,1
0.50383085,0.69675887,0
0.92476827,0.8295903,0
0.997173,0.66913676,1
0.15831792,0.04169035,1
0.08768523,0.42463964,0
0.7936124,0.87105006,0
0.40673298,0.50917304,0
0.596304,0.7080399,0
0.9933411,0.3087662,1
0.30963206,0.3099625,1
0.077240646,0.20684534,1
0.2641273,0.5896224,0
0.56066245,0.25198734,1
0.7213568,0.23441023,1
0.49156886,0.3866685,1
0.40110993,0.14219528,1
0.018010557,0.72111636,0
0.92762953,0.8407329,0
0.78815556,0.16215682,1
0.91910106,0.1819061,1
0.6622013,0.41828156,1
0.6650323,0.51384544,1
0.052551687,0.8027621,0
0.27482688,0.5509411,0
0.17043847,0.5840854,0
0.6496826,0.41295987,1
0.47053653,0.026116312,1
0.29382324,0.39597595,0
0.20242274,0.02892524,1
0.053676903,0.35626447,0
0.7623958,0.3292184,1
0.6075343,0.27299923,1
0.32358164,0.13145864,1
0.25916392,0.10459316,1
0.5089044,0.72620994,0
0.47810847,0.552131,0
0.95564115,0.10460091,1
0.7092993,0.33879918,1
0.0016987324,0.7445803,0
0.3461122,0.9742892,0
0.8221863,0.7983432,0
0.7766229,0.07748473,1
0.30666023,0.9921703,0
0.9648475,0.3150772,1
0.39501923,0.27565187,1
0.8169505,0.2407133,1
0.17191565,0.8391595,0
0.8066479,0.4070515,1
0.6761977,0.23754871,1
0.6801933,0.11615574,1
0.2832842,0.89672166,0
0.10529375,0.4622451,0
0.5880267,0.921908,0
0.53353786,0.09568673,1
0.61825293,0.5962654,0
0.17385697,0.38791114,0
0.42543674,0.79352534,0
0.71189004,0.10658479,1
0.4113441,0.1994673,1
0.5765096,0.8361027,0
0.6740358,0.61124617,1
0.04455316,0.87283736,0
0.24708146,0.7009236,0
0.8918651,0.82028013,0
0.7229562,0.8108138,0
0.055496216,0.37905484,0
0.9078051,0.6324594,1
0.2822749,0.6451665,0
0.83558553,0.9486369,0
0.30101824,0.92988324,0
0.17077607,0.7330583,0
0.9993031,0.5382388,1
